title	type	url_slug	venue	date	location	talk_url	description
Does temperature cause sex reversal in wild Pogona vitticeps? Correlating environmental variables with trends in reptile sex reversal	Talk	talk-001	CSIRO National Research Collections Summer Vacation Scholar Final Seminars	30/1/2017	"CSIRO Black Mountain, Canberra"		
Does temperature cause sex reversal in wild Pogona vitticeps? Correlating environmental variables with trends in reptile sex reversal	Talk	talk-002	Pogona vitticeps team meeting	27/4/2017	"University of Canberra, Canberra"		
Incubation temperature and depth across the range of Pogona vitticeps	Talk	talk-003	Research Project in Biology: Student Final Seminars	18/10/2017	"Research School of Biology, The Australian National University, Canberra"		
Incubation temperature and depth across the range of Pogona vitticeps	Talk	talk-004	Wildlife Genetics team meeting	11/11/2017	"University of Canberra, Canberra, Australia"		
Do genes evolve on trees or networks? Investigating the treelikeness assumption.	Talk	talk-005	Honours Student Introductory Seminars	6/3/2018	"Research School of Biology, The Australian National University, Canberra"		
Detecting introgression in multiple sequence alignments: a comparison of new and existing tests for treelikeness	Talk	talk-006	Honours Student Final Seminars	20/9/2018	"Research School of Biology, The Australian National University, Canberra"		
A new test for treelikeness in phylogenetic data	Talk	talk-007	CompBioFest II	20/11/2018	"Research School of Biology, The Australian National University, Canberra"		
A new test for treelikeness in phylogenetic data	Talk	talk-008	Phylomania	22/11/2018	"University of Tasmania, Hobart"		
A new test for treelikeness in phylogenetic data	Talk	talk-009	Australasian Evolutionary Society Conference	26/11/2019	"University of New South Wales, Sydney"		
A new test for treelikeness in phylogenetic data	Talk	talk-010	Higher Degree by Research Student Conference	26/11/2020	"Research School of Biology, The Australian National University, Canberra"		
Removing recombinant loci has minimal impact on species tree topology	Talk	talk-011	Phylomania	26/11/2021	"Hybrid remote/University of Tasmania, Hobart"		
Removing recombinant loci has minimal impact on species tree topology	Talk	talk-012	Higher Degree by Research Student Conference	7/4/2022	"Research School of Biology, The Australian National University, Canberra"		
A comparison of methods for quantifying treelikeness	Talk	talk-013	Australasian Evolutionary Society Conference	15/11/2022	"Research School of Biology, The Australian National University, Canberra"		
Can we describe the relationship between sponges and Ctenophores with a single phylogeny?	Talk	talk-014	Higher Degree by Research Student Conference	5/4/2023	"Research School of Biology, The Australian National University, Canberra"		
MAST: Phylogenetic Inference With Mixtures Across Sites And Trees And Applications To Metazoan Evolution	Talk	talk-015	ANU Workshop on Computational Genomics	31/8/2023	"Shine Dome, The Australian National University, Canberra"		
The treelikeness assumption: Investigating conflicting signal in the animal tree of life	Talk	talk-016	PhD Exit Seminar	15/12/2023	"Research School of Biology, The Australian National University, Canberra"	https://biology.anu.edu.au/news-events/events/ee-phd-exit-seminar-treelikeness-assumption-investigating-conflicting-signal	
Investigating conflict within the Metazoan tree of life using a multi-tree model	Talk	talk-017	27th Annual New Zealand Phylogenomics Meeting	13/2/2024	"Waiheke, New Zealand"		
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
